1,Fluminense,Brasil
2,Flamengo,Brasil
3,Athletico Paranaense,Brasil
4,Palmeiras,Brasil
5,Boca Juniors,Argentina
6,River Plate,Argentina
7,Defensa y Justicia,Argentina
8,Independiente del Valle,Ecuador
9,LDU Quito,Ecuador
10,Racing Club,Argentina
11,Botafogo,Brasil
